gene	pLI	pRec	mis_z
ABCB6	8.5999e-19	3.4746e-01	-1.3886e-01
ABCB7	9.9994e-01	6.1928e-05	2.9037e+00
ABCB8	1.9164e-15	1.8810e-01	2.9870e-01
ABCB9	2.5164e-04	9.9910e-01	1.0126e+00
ABCC1	1.1727e-03	9.9883e-01	1.7734e+00
ABCC10	1.2887e-26	1.7525e-01	6.5471e-01
ABCC11	3.9884e-46	1.5510e-07	-1.9701e-01
ABCC12	4.5659e-49	2.0487e-08	-9.2057e-02
ABCC2	5.2025e-47	6.4371e-07	-9.9478e-01
ABCC3	1.2092e-26	5.0728e-01	6.2968e-01
ABCC4	1.0674e-07	1.0000e+00	1.7016e+00
ABCC5	4.1518e-03	9.9585e-01	3.6041e+00
ABCC6	5.6167e-35	1.5783e-03	-1.0878e+00
ABCC8	7.9571e-24	9.9886e-01	1.9140e+00
ABCC9	9.3524e-09	1.0000e+00	4.9694e+00
ABCD1	9.9896e-01	1.0414e-03	1.8659e+00
ABCD2	4.7079e-06	9.9836e-01	2.3537e+00
ABCD3	7.8364e-03	9.9216e-01	2.5441e+00
ABCD4	1.3364e-12	9.2138e-01	1.6930e-01
ABCE1	9.7380e-01	2.6202e-02	4.1012e+00
ABCF1	1.2823e-09	9.9999e-01	2.5127e+00
ABCF2	1.1301e-02	9.8870e-01	2.4821e+00
ABCF3	1.5114e-05	9.9997e-01	6.5355e-01
ABCG1	1.1182e-01	8.8817e-01	2.1350e+00
ABCG2	2.0957e-32	1.4337e-06	-8.8103e-01
ABCG4	3.8043e-07	9.8806e-01	2.2691e+00
ABCG5	3.0810e-21	1.0855e-03	-7.4377e-01
ABCG8	2.3838e-20	1.8810e-03	-2.4872e+00
ABHD1	3.3799e-25	5.0311e-06	-9.4849e-01
ABHD10	1.2865e-05	8.4618e-01	2.3316e-01
ABHD11	2.9581e-03	9.4786e-01	5.6684e-01
ABHD12	1.9476e-05	9.9483e-01	1.9453e-01
ABHD12B	3.7965e-15	5.9733e-03	-1.6530e-01
ABHD13	8.9460e-01	1.0522e-01	1.4728e+00
ABHD14A	6.4241e-06	4.8060e-01	3.2559e-01
ABHD14A-ACY1	1.7689e-10	6.1523e-01	2.3726e-01
ABHD14B	1.4378e-04	4.3449e-01	8.5202e-01
ABHD15	3.5459e-08	1.9234e-01	-1.0357e-01
ABHD16A	4.7336e-01	5.2664e-01	2.4782e+00
ABHD16B	7.4371e-05	7.6405e-01	5.0876e-01
ABHD17A	1.8945e-02	9.6348e-01	1.4983e+00
ABHD17B	2.5442e-01	7.4016e-01	2.6190e+00
ABHD17C	9.5762e-01	4.2288e-02	3.1394e+00
ABHD2	6.8151e-01	3.1846e-01	2.2256e+00
ABHD3	1.6717e-09	3.9036e-01	5.6823e-01
ABHD4	2.2197e-08	6.9762e-01	7.0149e-01
ABHD5	6.4201e-07	8.9260e-01	4.7432e-01
ABHD6	2.2313e-05	9.1548e-01	7.6259e-01
ABHD8	9.7027e-01	2.9724e-02	1.7991e+00
ABI1	6.3911e-01	3.6088e-01	2.0949e+00
ABI2	4.3122e-01	5.6872e-01	2.2471e+00
ABI3	5.0089e-05	8.8088e-01	3.9596e-01
ABI3BP	1.0074e-08	1.0000e+00	8.2947e-01
ABL1	9.9998e-01	1.7228e-05	2.5581e+00
ABL2	3.6365e-07	1.0000e+00	1.6853e+00
ABLIM1	9.3010e-01	6.9898e-02	1.6153e+00
ABLIM2	4.5858e-03	9.9541e-01	1.6633e-01
ABLIM3	1.0625e-07	9.9999e-01	6.9581e-01
ABR	6.2738e-01	3.7262e-01	3.8894e+00
ABRA	6.1508e-06	7.1030e-01	-1.5154e-01
ABRACL	2.4171e-01	6.5317e-01	4.0665e-01
ABT1	2.0296e-02	9.1103e-01	1.7351e-01
ABTB1	2.1295e-05	9.9544e-01	3.4463e-01
ABTB2	4.6627e-03	9.9534e-01	1.2261e+00
AC002310.13	1.8963e-01	6.5847e-01	-5.0630e-01
AC002365.1	2.3223e-05	3.1017e-01	1.4260e+00
AC002472.13	6.2030e-16	2.0565e-03	9.1674e-01
AC002553.1	1.4242e-01	6.4208e-01	5.8737e-01
AC003002.4	8.0575e-03	5.7506e-01	-3.5385e-01
AC003002.6	3.5010e-01	5.9974e-01	9.6157e-01
AC003006.7	7.1661e-03	5.5009e-01	-8.2643e-02
AC003043.1	3.1763e-01	4.9963e-01	4.4700e-01
AC003101.1	3.0547e-04	3.6797e-01	6.3369e-01
AC004076.7	3.8582e-01	4.8538e-01	4.2273e-01
AC004076.9	1.4714e-03	6.9136e-01	1.1999e-01
AC004381.6	2.7972e-11	9.7222e-01	1.5541e+00
AC004466.1	1.4520e-03	2.6422e-01	9.1141e-02
AC005003.1	4.5208e-01	4.5859e-01	6.2407e-02
AC005008.2	3.0161e-06	1.9153e-01	3.7557e-01
AC005082.1	1.0283e-01	6.0253e-01	6.9739e-01
AC005358.1	9.9303e-01	6.9697e-03	5.5670e-01
AC005481.5	4.2807e-01	4.6958e-01	1.9720e-01
AC005493.1	1.2042e-03	2.3985e-01	5.1194e-01
AC005544.1	1.3987e-02	4.5590e-01	1.2165e+00
AC005549.3	3.0741e-01	5.0038e-01	1.6353e-01
AC005609.1	1.1550e-02	6.5153e-01	5.7990e-02
AC005841.1	2.9965e-10	1.2528e-02	4.5963e-01
AC006435.1	6.1673e-08	3.9989e-02	-4.2979e-01
AC006486.1	1.1351e-01	6.1633e-01	8.3264e-02
AC006486.9	9.3701e-01	6.2741e-02	2.1219e+00
AC006538.4	1.3057e-01	6.3333e-01	2.4194e-01
AC006547.14	4.7950e-07	6.4046e-01	9.2561e-01
AC006946.15	1.1381e-01	7.8732e-01	7.5460e-01
AC007040.11	4.1170e-03	8.7236e-01	9.9296e-01
AC007204.1	1.4865e-01	6.4582e-01	-2.6428e-02
AC007401.2	2.7199e-03	3.6071e-01	2.0451e-01
AC007557.1	4.8399e-01	4.4197e-01	5.2241e-01
AC007952.5	5.1031e-01	4.2670e-01	1.1259e+00
AC007956.1	7.4157e-03	5.5736e-01	3.7253e-02
AC008060.7	4.5284e-03	4.5537e-01	2.3750e-01
AC008271.1	1.0066e-01	7.8298e-01	5.3100e-01
AC008372.1	5.5720e-02	4.9793e-01	2.4231e-01
AC008394.1	8.3114e-02	5.6900e-01	4.9780e-01
AC008686.1	4.1904e-02	6.7391e-01	8.4270e-02
AC009041.2	3.1271e-01	5.0004e-01	-7.1708e-02
AC009065.1	6.7438e-06	1.6208e-01	2.4545e-01
AC009365.3	1.5063e-01	6.4689e-01	6.1999e-01
AC009403.2	2.3373e-02	5.5931e-01	5.7520e-01
AC009802.1	3.3190e-01	4.9795e-01	3.3835e-01
AC009892.10	1.0406e-02	4.0004e-01	4.7021e-01
AC010336.1	3.5917e-06	2.1027e-01	9.5686e-02
AC010441.1	1.4806e-05	1.3545e-01	2.1414e-03
AC010646.3	7.5765e-02	5.5321e-01	-8.3085e-02
AC011239.1	2.2220e-02	5.4897e-01	5.2788e-01
AC011294.3	4.2268e-03	4.4182e-01	2.8882e-01
AC011308.1	3.5252e-01	4.9424e-01	1.1867e-01
AC011366.3	4.1766e-01	4.7390e-01	2.0767e-01
AC011475.1	7.0058e-02	5.3946e-01	2.9883e-03
AC011500.1	1.5552e-03	4.6498e-01	4.9172e-01
AC011530.4	7.6414e-02	8.7743e-01	1.9934e-01
AC011897.1	4.7933e-03	7.0407e-01	9.5200e-01
AC011997.1	1.3749e-04	2.4701e-01	6.4966e-01
AC012123.1	1.8166e-02	7.4113e-01	-4.8827e-01
AC012313.1	2.8998e-02	6.0310e-01	-1.7039e-01
AC012360.1	2.9230e-01	5.0072e-01	2.2391e-01
AC013468.1	3.3869e-01	4.9689e-01	4.3833e-01
AC015987.2	1.1503e-01	6.1808e-01	-1.1365e-02
AC015989.1	3.3245e-01	4.9787e-01	3.8932e-01
AC016251.1	6.3556e-02	7.4012e-01	9.5653e-01
AC016757.3	2.4322e-03	3.4185e-01	7.2383e-01
AC016885.1	8.0463e-02	5.6353e-01	1.1062e+00
AC017028.1	7.7214e-03	5.6597e-01	2.8518e-01
AC017104.2	6.0024e-03	5.1277e-01	2.0161e-01
AC018470.1	8.3655e-03	9.3833e-01	1.2284e+00
AC018755.1	2.1815e-02	7.7308e-01	1.2707e+00
AC018816.3	5.7938e-05	2.8069e-01	1.4664e-01
AC018867.1	7.2047e-02	5.4441e-01	1.2374e-01
AC018867.2	3.7315e-01	4.8915e-01	6.4045e-01
AC019171.1	5.5050e-02	7.1961e-01	1.1126e+00
AC019206.1	2.8267e-01	5.0044e-01	1.0076e-01
AC021218.2	5.9572e-02	7.3123e-01	-4.1987e-02
AC022400.2	2.9318e-01	5.0072e-01	-7.6073e-01
AC022431.2	2.2173e-02	7.7576e-01	4.6913e-01
AC022532.1	6.4374e-02	7.4180e-01	6.1936e-01
AC023469.1	2.8236e-04	3.5438e-01	3.8254e-01
AC023590.1	3.7657e-01	4.8818e-01	-1.3155e-01
AC024580.1	1.3133e-01	7.8800e-01	1.4532e+00
AC024592.12	2.3907e-02	7.8780e-01	3.2259e-01
AC025287.1	3.9239e-04	4.1355e-01	5.9806e-01
AC026202.1	9.6777e-04	3.7495e-01	-9.8794e-01
AC026369.1	2.8615e-01	5.0059e-01	4.0761e-01
AC026407.1	1.5094e-01	6.4705e-01	2.4008e-01
AC027763.2	1.7573e-01	6.5622e-01	4.1349e-01
AC037459.4	1.2737e-02	9.5670e-01	-6.6462e-01
AC040160.1	7.7571e-03	7.9573e-01	1.1645e+00
AC040977.1	4.7001e-02	6.9407e-01	3.4649e-01
AC062017.1	3.0253e-03	3.7934e-01	1.6605e-01
AC064874.1	3.5541e-02	6.4317e-01	4.4682e-01
AC068533.7	4.0488e-10	1.9015e-01	7.6097e-01
AC068987.1	1.2376e-01	6.2722e-01	7.8755e-01
AC069368.3	3.6709e-02	9.5661e-01	4.5757e-01
AC073063.1	7.6715e-02	5.5537e-01	1.9088e-01
AC073343.1	3.8385e-09	1.0429e-01	3.1128e-01
AC073569.1	3.0784e-01	5.0035e-01	8.9627e-02
AC073610.5	6.9816e-01	2.8661e-01	1.4764e+00
AC074091.13	2.1409e-01	6.5835e-01	1.1054e+00
AC074212.3	4.4198e-03	9.9431e-01	1.1898e+00
AC079354.1	3.2090e-07	9.9685e-01	1.8732e+00
AC079612.1	2.0651e-04	5.0797e-01	4.2467e-01
AC087645.1	2.0918e-01	7.5372e-01	6.0856e-01
AC090427.1	2.9639e-01	5.0072e-01	3.7549e-02
AC090616.2	3.1750e-01	4.9965e-01	3.5968e-01
AC091801.1	1.7221e-01	6.5535e-01	-8.1946e-01
AC092675.3	1.0944e-02	6.4021e-01	4.6688e-01
AC092687.4	6.4624e-02	7.4231e-01	9.3269e-01
AC092964.1	3.8696e-01	4.8502e-01	3.8572e-02
AC093157.1	4.0694e-01	4.7807e-01	-1.6137e-01
AC093802.1	4.1827e-02	6.7358e-01	5.2370e-01
AC096582.1	4.1594e-01	4.7459e-01	1.0835e+00
AC096644.1	1.1357e-01	6.1640e-01	7.2951e-02
AC099552.4	2.1980e-01	6.5767e-01	6.5064e-01
AC103809.2	3.7079e-02	6.5125e-01	-1.9986e-01
AC104057.1	3.0714e-01	5.0039e-01	-1.7289e+00
AC104534.3	5.1076e-01	4.8851e-01	1.6063e+00
AC104667.3	6.7205e-03	5.3649e-01	3.4839e-02
AC104794.4	2.2483e-02	7.7803e-01	1.8776e-01
AC104809.3	1.3883e-13	9.8043e-01	7.6094e-01
AC106873.4	1.2431e-01	6.2775e-01	-2.0594e-01
AC106876.2	1.0298e-02	6.2736e-01	7.6546e-01
AC108868.1	3.0351e-01	5.0055e-01	-2.2882e-01
AC109829.1	3.5252e-04	8.4166e-01	1.5136e+00
AC110615.1	1.4254e-01	6.4216e-01	-1.5611e-01
AC110619.2	1.3399e-02	6.8214e-01	-8.8172e-02
AC110781.3	1.0378e-01	6.0388e-01	3.7964e-01
AC111200.1	3.6087e-01	4.9234e-01	3.9336e-01
AC112205.1	3.3575e-01	4.9737e-01	4.7944e-01
AC112715.2	4.2143e-01	4.7237e-01	6.8829e-01
AC112721.1	2.9560e-01	5.0072e-01	-2.5762e-01
AC114494.1	8.5067e-02	5.7286e-01	6.5658e-01
AC114783.1	8.9231e-07	1.8099e-01	2.0642e-01
AC117834.1	5.0258e-01	4.3133e-01	1.2152e+00
AC120194.1	3.1775e-01	4.9962e-01	1.7667e-01
AC121757.1	1.0845e-01	6.1012e-01	-5.4174e-01
AC131097.4	8.0869e-03	5.7584e-01	5.6647e-01
AC132216.1	4.5338e-02	6.8787e-01	1.6696e+00
AC135048.1	1.4211e-01	6.4188e-01	4.9572e-01
AC136604.1	3.6879e-01	4.9034e-01	-5.5934e-02
AC137932.1	7.9566e-02	5.6163e-01	-3.1531e-01
AC138647.1	2.0424e-02	5.3176e-01	-7.3169e-01
AC140481.2	1.0469e-01	6.0513e-01	1.3753e+00
AC174470.1	1.5353e-01	7.8300e-01	9.0842e-01
AC187652.1	9.6431e-02	5.9290e-01	5.2797e-01
ACAA1	3.5904e-09	5.4382e-01	1.2156e+00
ACAA2	3.7065e-10	1.8130e-01	-2.7145e-01
ACACA	1.0000e+00	5.4314e-08	7.2382e+00
ACACB	7.6499e-47	1.9149e-01	1.5694e+00
ACAD10	1.0177e-30	1.3943e-03	3.7046e-01
ACAD11	5.1833e-15	9.2247e-01	5.0836e-01
ACAD8	5.6389e-14	5.5304e-02	2.2235e-01
ACAD9	4.5256e-08	9.8957e-01	-1.7875e-01
ACADL	1.7430e-12	2.0234e-01	8.5565e-01
ACADM	2.0548e-12	2.2081e-01	5.4287e-01
ACADS	2.8026e-06	9.2941e-01	5.8444e-01
ACADSB	2.6565e-11	2.6279e-01	-6.9716e-02
ACADVL	4.2385e-15	2.8504e-01	-2.0979e-01
ACAN	1.0000e+00	4.1087e-07	2.0716e-01
ACAP1	6.7617e-02	9.3238e-01	2.2959e+00
ACAP2	9.2325e-01	7.6748e-02	3.2192e+00
ACAP3	4.4135e-06	9.9998e-01	1.6713e+00
ACAT1	9.8525e-08	7.7372e-01	9.0559e-01
ACAT2	5.5303e-07	6.7139e-01	6.9888e-01
ACBD3	1.0653e-02	9.8928e-01	1.8230e+00
ACBD4	1.0857e-06	9.4236e-01	2.9841e-01
ACBD5	6.1480e-03	9.9382e-01	8.7301e-01
ACBD6	2.2569e-06	7.3300e-01	1.0713e-01
ACBD7	1.1605e-01	7.8769e-01	3.2080e-02
ACCS	8.9836e-07	9.8303e-01	2.2645e-01
ACCSL	8.5206e-18	8.3869e-03	2.6436e-01
ACD	1.1148e-12	1.5890e-01	-4.8611e-01
ACE	1.0344e-37	1.4326e-04	-6.9323e-01
ACE2	9.9769e-01	2.3072e-03	1.2455e+00
ACER1	2.1705e-03	9.2546e-01	4.5099e-01
ACER2	4.0225e-02	9.5395e-01	-3.7351e-01
ACER3	8.7464e-01	1.2534e-01	1.8012e+00
ACHE	9.9827e-01	1.7297e-03	2.7523e+00
ACIN1	1.0000e+00	1.9444e-06	2.2011e+00
ACKR2	1.3880e-03	6.7899e-01	2.6347e-01
ACKR3	3.9134e-01	6.0000e-01	9.4571e-01
ACKR4	2.9962e-09	4.7952e-02	8.4358e-01
ACLY	8.3556e-02	9.1644e-01	3.2841e+00
ACMSD	1.3920e-08	5.9648e-01	1.0511e-02
ACN9	2.6353e-03	5.7597e-01	-7.5160e-01
ACO1	3.8322e-18	6.4955e-01	9.1861e-01
ACO2	2.0791e-01	7.9209e-01	2.9201e+00
ACOT1	6.4141e-05	4.9619e-01	8.4974e-01
ACOT11	1.0844e-16	1.3206e-01	5.3887e-01
ACOT12	2.7282e-14	2.3636e-01	4.7059e-02
ACOT13	3.1271e-06	1.0582e-01	9.5410e-02
ACOT2	9.3287e-06	5.5959e-01	-6.9837e-01
ACOT4	1.0412e-08	9.7747e-02	1.1333e-01
ACOT6	3.5327e-03	6.3950e-01	1.1829e+00
ACOT7	7.5926e-01	2.4067e-01	1.9837e+00
ACOT8	5.9662e-06	8.9303e-01	1.2376e-01
ACOT9	6.8017e-09	4.4557e-01	7.0195e-01
ACOX1	6.2095e-02	9.3790e-01	1.9819e+00
ACOX2	2.1841e-10	9.6515e-01	5.0188e-01
ACOX3	7.6016e-16	2.0802e-01	-4.4494e-01
ACOXL	5.2479e-15	1.7769e-01	1.0230e+00
ACP1	1.7531e-08	6.9830e-02	-2.4852e-01
ACP2	6.2383e-05	9.9515e-01	8.2592e-01
ACP5	7.8651e-02	9.1152e-01	4.0019e-01
ACP6	2.3344e-13	3.4716e-02	6.7767e-01
ACPL2	3.0898e-03	9.8660e-01	7.2011e-01
ACPP	2.5463e-16	8.6825e-03	1.6828e-01
ACPT	8.6210e-15	9.6717e-03	1.3068e-01
ACR	1.2215e-02	9.5544e-01	4.4696e-01
ACRBP	2.6954e-10	8.9425e-01	7.3439e-01
ACRC	9.8788e-01	1.2123e-02	7.4490e-01
ACRV1	1.2111e-06	3.7396e-01	8.9185e-01
ACSBG1	3.9590e-05	9.9988e-01	1.8305e+00
ACSBG2	1.0757e-10	9.1531e-01	2.2000e-01
ACSF2	1.4241e-05	9.9965e-01	1.9810e+00
ACSF3	2.3246e-26	7.4304e-06	-1.3005e+00
ACSL1	1.5324e-03	9.9847e-01	1.4037e+00
ACSL3	3.4758e-04	9.9964e-01	2.0117e+00
ACSL4	9.8103e-01	1.8970e-02	2.5909e+00
ACSL5	2.8888e-09	9.9907e-01	7.1717e-01
ACSL6	3.2201e-03	9.9678e-01	1.7583e+00
ACSM1	2.2841e-15	2.0663e-01	2.0392e-01
ACSM2A	3.2754e-23	5.3343e-04	-1.7915e+00
ACSM2B	6.2689e-26	9.5408e-05	-1.9799e+00
ACSM3	1.4410e-14	3.0142e-01	4.5569e-01
ACSM4	4.0476e-19	9.9524e-03	9.0845e-01
ACSM5	1.1745e-18	9.6790e-03	-6.2098e-01
ACSS1	3.0776e-07	9.9665e-01	1.8341e+00
ACSS2	1.1443e-13	8.9717e-01	1.0825e+00
ACSS3	5.0483e-13	7.8481e-01	1.4647e-01
ACTA1	1.1385e-06	5.8620e-01	4.5292e+00
ACTA2	9.3017e-01	6.9821e-02	3.1995e+00
ACTB	9.8564e-01	1.4357e-02	5.0206e+00
ACTBL2	5.8166e-16	5.3358e-04	-3.5507e-01
ACTC1	7.3668e-01	2.6285e-01	4.5244e+00
ACTG1	4.7837e-03	9.6918e-01	3.1600e+00
ACTG2	7.1036e-02	9.2657e-01	3.3487e+00
ACTL10	8.0520e-02	7.6700e-01	-3.4803e-01
ACTL6A	9.9665e-01	3.3472e-03	2.9398e+00
ACTL6B	2.8347e-04	9.9917e-01	3.2738e+00
ACTL7A	5.1316e-07	4.2074e-01	1.7962e-01
ACTL7B	2.4547e-06	3.0686e-01	5.1107e-01
ACTL8	3.1835e-01	6.1944e-01	8.8163e-01
ACTL9	4.0543e-03	8.7037e-01	1.3088e-01
ACTN1	9.9997e-01	3.2475e-05	3.3621e+00
ACTN2	9.9968e-01	3.1652e-04	1.2925e+00
ACTN4	1.0000e+00	1.4050e-07	4.1552e+00
ACTR10	1.5053e-03	9.9728e-01	1.1669e+00
ACTR1A	9.6621e-01	3.3786e-02	3.0266e+00
ACTR1B	1.0746e-03	9.9695e-01	1.0434e+00
ACTR2	9.9896e-01	1.0389e-03	3.6696e+00
ACTR3	9.9986e-01	1.4401e-04	3.6093e+00
ACTR3B	9.9911e-01	8.9182e-04	2.9731e+00
ACTR3C	7.2147e-06	5.0469e-01	-1.2835e-01
ACTR5	1.1352e-09	7.7138e-01	4.0541e-01
ACTR6	5.4629e-09	6.3531e-01	1.8929e+00
ACTR8	5.4097e-15	5.3265e-01	1.2321e+00
ACTRT1	3.7403e-03	6.5179e-01	-1.2444e+00
ACTRT2	4.7660e-04	6.8876e-01	-4.0324e-01
ACTRT3	3.7565e-08	1.0759e-01	2.2425e-01
ACVR1	3.2540e-01	6.7457e-01	2.3371e+00
ACVR1B	9.9969e-01	3.1361e-04	3.3735e+00
ACVR1C	8.5157e-04	9.9859e-01	1.4993e+00
ACVR2A	9.9972e-01	2.7874e-04	3.2896e+00
ACVR2B	8.3412e-01	1.6588e-01	2.0429e+00
ACVRL1	9.6719e-04	9.9674e-01	2.4458e+00
ACY1	6.9169e-09	6.8633e-01	9.5076e-02
ACY3	5.4152e-06	4.4616e-01	-5.8480e-02
ACYP1	7.0318e-02	7.5274e-01	5.6831e-01
ACYP2	6.5331e-05	2.9824e-01	-5.1232e-01
ADA	2.8825e-12	7.7798e-02	1.1775e-01
ADAD1	3.8952e-02	9.6100e-01	8.9530e-01
ADAD2	2.3904e-12	2.3907e-01	-2.3586e+00
ADAL	1.6257e-06	6.6394e-01	1.1761e+00
ADAM10	1.0000e+00	2.4675e-06	3.3058e+00
ADAM11	1.0387e-05	9.9999e-01	2.6264e+00
ADAM12	5.7284e-07	9.9999e-01	1.2679e+00
ADAM15	2.4409e-16	9.4519e-01	1.0693e+00
ADAM17	9.9528e-01	4.7249e-03	2.4510e+00
ADAM18	6.8847e-35	3.5253e-07	-5.7884e-01
ADAM19	6.8000e-05	9.9993e-01	1.8832e+00
ADAM2	1.8889e-22	5.5525e-03	-6.5123e-01
ADAM21	3.5771e-12	4.6486e-02	3.1119e-01
ADAM22	2.5101e-01	7.4899e-01	2.3402e+00
ADAM23	9.9709e-01	2.9098e-03	1.8992e+00
ADAM28	2.9634e-24	3.4344e-03	-9.1545e-01
ADAM32	2.1571e-15	8.0444e-01	2.8881e-01
ADAM33	2.1487e-15	8.0375e-01	6.8787e-01
ADAM7	1.1927e-19	1.2246e-01	-5.0503e-01
ADAM8	2.1983e-14	8.2095e-01	3.8049e-01
ADAM9	2.9431e-02	9.7057e-01	1.9036e+00
ADAMDEC1	3.6295e-16	2.0517e-02	-8.5424e-02
ADAMTS1	7.1601e-01	2.8399e-01	6.6702e-01
ADAMTS10	8.4288e-01	1.5712e-01	3.6280e+00
ADAMTS12	2.4806e-17	9.9998e-01	9.7964e-01
ADAMTS13	5.1409e-15	9.9997e-01	1.5614e+00
ADAMTS14	4.7565e-14	9.9984e-01	2.9483e-01
ADAMTS15	1.6672e-06	9.9853e-01	5.0802e-01
ADAMTS16	4.4629e-04	9.9955e-01	4.0755e-01
ADAMTS17	2.8020e-15	9.9962e-01	-1.3894e+00
ADAMTS18	1.0716e-29	1.3959e-01	-3.5082e+00
ADAMTS19	5.9648e-08	1.0000e+00	2.1002e+00
ADAMTS2	9.6610e-01	3.3898e-02	1.4291e+00
ADAMTS20	4.4534e-38	8.1603e-01	-6.8560e-01
ADAMTS3	1.0278e-10	1.0000e+00	5.4521e-01
ADAMTS4	1.9501e-06	9.9882e-01	1.1548e+00
ADAMTS5	8.0325e-07	9.9915e-01	7.6822e-01
ADAMTS6	9.9998e-01	2.1689e-05	3.0880e+00
ADAMTS7	2.2517e-14	1.0000e+00	7.1148e-01
ADAMTS8	1.1981e-10	9.2548e-01	5.1838e-01
ADAMTS9	1.0004e-06	1.0000e+00	9.5461e-01
ADAMTSL1	3.1241e-12	1.0000e+00	-9.7016e-01
ADAMTSL2	1.6001e-03	9.9295e-01	1.2469e+00
ADAMTSL3	1.3662e-19	1.0000e+00	4.7550e-01
ADAMTSL4	2.6008e-28	2.6530e-03	7.9961e-02
ADAMTSL5	3.7025e-11	3.1087e-01	-4.5176e-01
ADAP1	5.3330e-01	4.6668e-01	8.8817e-01
ADAP2	4.2394e-10	5.6310e-01	8.0306e-01
ADAR	2.6282e-02	9.7372e-01	2.2714e+00
ADARB1	8.0347e-01	1.9652e-01	3.5179e+00
ADARB2	8.5603e-01	1.4397e-01	1.7325e+00
ADAT1	2.5388e-13	1.2980e-01	-1.4665e+00
ADAT2	1.0070e-07	1.8532e-01	8.8027e-01
ADAT3	5.6059e-03	7.3565e-01	-4.2211e-01
ADC	8.8707e-07	9.2614e-01	4.6652e-01
ADCK1	9.4776e-15	3.7533e-02	-3.0477e-01
ADCK2	3.6479e-07	9.4393e-01	9.1922e-01
ADCK3	9.2856e-11	7.1590e-01	-8.7221e-01
ADCK4	2.8159e-13	2.5012e-01	8.8960e-01
ADCK5	4.3693e-03	9.9537e-01	2.1802e+00
ADCY1	9.9747e-01	2.5340e-03	4.3801e+00
ADCY10	7.3834e-41	1.9749e-04	4.5524e-01
ADCY2	9.9898e-01	1.0226e-03	4.2471e+00
ADCY3	1.9545e-11	9.9992e-01	2.5726e+00
ADCY4	1.0791e-18	8.3620e-01	1.4259e+00
ADCY5	9.9928e-01	7.1925e-04	3.4043e+00
ADCY6	5.8268e-03	9.9417e-01	2.6826e+00
ADCY7	9.4815e-07	1.0000e+00	1.7741e+00
ADCY8	1.7766e-06	1.0000e+00	1.5705e+00
ADCY9	9.7943e-01	2.0570e-02	1.2457e+00
ADCYAP1	5.2424e-01	4.6096e-01	-4.3277e-01
